,MAE,RMSE,Model,Dataset,Type
344,0.2421255608399709,0.4031005317615543,XGBoost,COVID-19,Idiographic
345,0.6312033029702994,1.0613308158188508,XGBoost,COVID-19,Idiographic
346,0.378347247838974,0.5297480958923299,XGBoost,COVID-19,Idiographic
347,0.5942946523427963,0.7768148895647582,XGBoost,COVID-19,Idiographic
348,0.4729836384455363,0.6470029330097161,XGBoost,COVID-19,Idiographic
349,0.5320562766148493,0.6709579113930774,XGBoost,COVID-19,Idiographic
350,0.3007344236740699,0.4449519072368979,XGBoost,COVID-19,Idiographic
351,0.6663752297560374,0.7513936883733807,XGBoost,COVID-19,Idiographic
352,0.8787316977977753,1.2395363208766916,XGBoost,COVID-19,Idiographic
353,0.4491866551912747,0.71486715565599,XGBoost,COVID-19,Idiographic
354,0.6396376689275106,0.7532275838305642,XGBoost,COVID-19,Idiographic
355,0.4013446867465973,0.5842014587000087,XGBoost,COVID-19,Idiographic
356,0.3337283730506897,0.5576613863116607,XGBoost,COVID-19,Idiographic
357,0.4732326544248141,0.6070857385493964,XGBoost,COVID-19,Idiographic
358,0.3794123530387878,0.5784988334806311,XGBoost,COVID-19,Idiographic
359,0.6868970890839895,0.7618572153283742,XGBoost,COVID-19,Idiographic
360,0.4854937700124887,0.5911516315569381,XGBoost,COVID-19,Idiographic
361,0.4855214415214415,0.558141262209532,RF,COVID-19,Idiographic
362,0.3127272727272727,0.637951266306305,RF,COVID-19,Idiographic
363,0.3533333333333333,0.4370354676682432,RF,COVID-19,Idiographic
364,0.4766666666666666,0.6073988255942987,RF,COVID-19,Idiographic
365,0.530519268182361,0.6981322996130724,RF,COVID-19,Idiographic
366,0.280917748917749,0.3714728213419908,RF,COVID-19,Idiographic
367,0.4676923076923077,0.7093225370298492,RF,COVID-19,Idiographic
368,0.3956405723905724,0.5239348369131173,RF,COVID-19,Idiographic
369,0.4566666666666667,1.1252851490474167,RF,COVID-19,Idiographic
370,0.1688662636944966,0.2661689448911969,RF,COVID-19,Idiographic
371,0.5003181328475446,0.6529706603130204,RF,COVID-19,Idiographic
372,0.5688783497204549,0.7398321133337892,RF,COVID-19,Idiographic
373,0.9052380952380952,1.23061917582346,RF,COVID-19,Idiographic
374,0.6372727272727274,0.7141746666925778,RF,COVID-19,Idiographic
375,0.6560863739435168,0.8975420017568195,RF,COVID-19,Idiographic
376,0.5912103174603175,0.6763447044939822,RF,COVID-19,Idiographic
377,0.4892631971203399,0.526120489069285,RF,COVID-19,Idiographic
378,0.5609036928679786,0.6076746919755633,RF,COVID-19,Idiographic
379,0.532967032967033,0.7064515435325325,RF,COVID-19,Idiographic
380,0.487611111111111,0.5139334713245075,RF,COVID-19,Idiographic
381,0.802990860990861,0.9053368303998528,RF,COVID-19,Idiographic
382,0.3427794644028412,0.4368636901802014,RF,COVID-19,Idiographic
383,0.5340041997476207,0.7189359928274603,RF,COVID-19,Idiographic
384,0.3357676767676767,0.6008877914085954,RF,COVID-19,Idiographic
385,0.7799325396825396,0.9886625035250276,RF,COVID-19,Idiographic
386,0.272432646718361,0.4898545739553231,RF,COVID-19,Idiographic
387,0.5966666666666667,0.7088958550685237,RF,COVID-19,Idiographic
388,0.3731601731601731,0.4049914358104099,RF,COVID-19,Idiographic
389,0.6733333333333333,0.800333263917809,RF,COVID-19,Idiographic
390,0.9428531653531654,1.119338914033114,RF,COVID-19,Idiographic
391,0.65,0.756042326857432,RF,COVID-19,Idiographic
392,0.6941975780211074,0.8446438113562701,RF,COVID-19,Idiographic
393,0.4724444444444445,0.5403752468492682,RF,COVID-19,Idiographic
394,0.5823846153846155,0.7163777068070878,RF,COVID-19,Idiographic
395,0.1483516483516483,0.3632877949753088,RF,COVID-19,Idiographic
396,0.4025234144510463,0.4812890277398122,RF,COVID-19,Idiographic
397,0.436,0.6779970501410756,RF,COVID-19,Idiographic
398,0.490037037037037,0.5654036435037747,RF,COVID-19,Idiographic
399,0.2550674603174603,0.4111891782626274,RF,COVID-19,Idiographic
400,0.5926935286935288,0.9802350441736284,RF,COVID-19,Idiographic
401,0.4221204960616724,0.5511014497359553,RF,COVID-19,Idiographic
402,0.6257222222222222,0.7401142179120432,RF,COVID-19,Idiographic
403,0.52341045991046,0.6210851646492104,RF,COVID-19,Idiographic
404,0.5114237161372671,0.6198815997143051,RF,COVID-19,Idiographic
405,0.4229696969696971,0.5102218994238371,RF,COVID-19,Idiographic
406,0.4954033349404866,0.5401678505751573,RF,COVID-19,Idiographic
407,0.9366666666666664,1.18911731969558,RF,COVID-19,Idiographic
408,0.3593553113553113,0.4286737933305876,RF,COVID-19,Idiographic
409,0.6624053383315046,0.7713441769964416,RF,COVID-19,Idiographic
410,0.4610864598364597,0.6140303324925326,RF,COVID-19,Idiographic
411,0.3333333333333333,0.4912568913850811,RF,COVID-19,Idiographic
412,0.3513803607152024,0.4755719915734745,RF,COVID-19,Idiographic
413,0.5145436507936507,0.6690339114847267,RF,COVID-19,Idiographic
414,0.7017737077737078,0.7517634452571942,RF,COVID-19,Idiographic
415,0.49109285294764,0.6079094470523982,RF,COVID-19,Idiographic
416,0.5601808130741119,0.6244390605681971,3-Layer LSTM,COVID-19,Idiographic
417,0.4290536533702503,0.7305117505258165,3-Layer LSTM,COVID-19,Idiographic
418,0.5154829819997152,0.6196693614219223,3-Layer LSTM,COVID-19,Idiographic
419,0.7784146765867869,1.0190485587724205,3-Layer LSTM,COVID-19,Idiographic
420,0.5730450886946458,0.6821532827577408,3-Layer LSTM,COVID-19,Idiographic
421,0.4595571322874589,0.6403970126059793,3-Layer LSTM,COVID-19,Idiographic
422,0.820404474551861,1.0188660898400708,3-Layer LSTM,COVID-19,Idiographic
423,0.5068464676539103,0.6779023858837966,3-Layer LSTM,COVID-19,Idiographic
424,0.5943892002105713,1.3658396728557778,3-Layer LSTM,COVID-19,Idiographic
425,0.3307956136189974,0.6409442135150197,3-Layer LSTM,COVID-19,Idiographic
426,0.6117203036944071,0.7872717581083679,3-Layer LSTM,COVID-19,Idiographic
427,0.6217295665007371,0.8415935625746565,3-Layer LSTM,COVID-19,Idiographic
428,1.0136893895956187,1.426633035018363,3-Layer LSTM,COVID-19,Idiographic
429,0.8600842356681824,1.073006510688848,3-Layer LSTM,COVID-19,Idiographic
430,0.6667122082276777,1.0152702026395726,3-Layer LSTM,COVID-19,Idiographic
431,0.7411535084247589,0.857732099714377,3-Layer LSTM,COVID-19,Idiographic
432,0.5671256230427668,0.6822663737206243,3-Layer LSTM,COVID-19,Idiographic
433,0.5108463863531748,0.6158268149122316,3-Layer LSTM,COVID-19,Idiographic
434,0.4541836151709923,0.7040658147399803,3-Layer LSTM,COVID-19,Idiographic
435,0.5227541327476501,0.5955746510897756,3-Layer LSTM,COVID-19,Idiographic
436,1.06253835807244,1.2193396348549292,3-Layer LSTM,COVID-19,Idiographic
437,0.4499545910141684,0.6277537476712935,3-Layer LSTM,COVID-19,Idiographic
438,0.7861689825852712,1.0240919465874818,3-Layer LSTM,COVID-19,Idiographic
439,0.2647744959050959,0.4114589355549242,3-Layer LSTM,COVID-19,Idiographic
440,0.9600190420945486,1.1230597972015413,3-Layer LSTM,COVID-19,Idiographic
441,0.382879926608159,0.5938731896412128,3-Layer LSTM,COVID-19,Idiographic
442,0.6281041701634725,0.7507802945841152,3-Layer LSTM,COVID-19,Idiographic
443,0.5677852684801276,0.6369241256424377,3-Layer LSTM,COVID-19,Idiographic
444,0.8582963943481445,0.9685809718849704,3-Layer LSTM,COVID-19,Idiographic
445,1.0651018818219502,1.4091619674984204,3-Layer LSTM,COVID-19,Idiographic
