,MAE,RMSE,Model,Dataset
154,24.830677270889282,43.8331947666571,1-Layer LSTM,Alcohol
155,17.194670638229166,22.12662492669106,1-Layer LSTM,Alcohol
156,5.173550191436158,5.943581975925283,1-Layer LSTM,Alcohol
157,8.051545880971027,10.801677638633743,1-Layer LSTM,Alcohol
158,14.84023189044979,19.528935600458958,1-Layer LSTM,Alcohol
159,6.380166778777104,8.31440958855478,1-Layer LSTM,Alcohol
160,7.119683203751202,10.95673410621753,1-Layer LSTM,Alcohol
161,19.227394124698407,24.380766485533833,1-Layer LSTM,Alcohol
162,0.9313214440066021,1.3991140253123149,1-Layer LSTM,Alcohol
163,9.858640448043221,12.208503680113829,1-Layer LSTM,Alcohol
164,2.4229697618909594,7.44220607013509,1-Layer LSTM,Alcohol
165,10.41485927956647,13.965434167041131,1-Layer LSTM,Alcohol
166,10.851300273429263,13.498587572633234,1-Layer LSTM,Alcohol
167,17.342621720887703,23.92120358668533,1-Layer LSTM,Alcohol
168,3.974062110464325,5.9465837432387945,GRU,Alcohol
169,20.139626620721224,26.24603222604904,GRU,Alcohol
170,11.525102877799073,14.153853319029276,GRU,Alcohol
171,4.007247721005193,6.152677299249733,GRU,Alcohol
172,10.6271327477684,13.7952351993308,GRU,Alcohol
173,10.814622795021174,13.54048460319683,GRU,Alcohol
174,16.055171363630677,28.170732507923404,GRU,Alcohol
175,10.703988768475792,18.967919724452898,GRU,Alcohol
176,12.456642765553791,16.351491738688786,GRU,Alcohol
177,1.5432450286629742,2.8381337509683027,GRU,Alcohol
178,20.832234168410125,28.293517923933223,GRU,Alcohol
179,6.121985350336347,8.656822084970283,GRU,Alcohol
180,2.12999477962383,2.518874513315328,GRU,Alcohol
181,5.913613155445016,8.687205769941027,GRU,Alcohol
182,24.78425287589086,44.88854634568567,GRU,Alcohol
183,19.263714596203396,23.644061771755485,GRU,Alcohol
184,7.181414148125992,8.465376989359576,GRU,Alcohol
185,9.225880546834615,11.71915016193195,GRU,Alcohol
186,14.811272996965252,19.80199351787715,GRU,Alcohol
187,6.3544796688094145,9.101278752902664,GRU,Alcohol
188,6.931164365762376,10.680027066194143,GRU,Alcohol
189,21.447922836865864,26.99861871461486,GRU,Alcohol
190,0.8139919228851795,1.8966349898500714,GRU,Alcohol
191,10.607663085586147,13.356312254368854,GRU,Alcohol
192,2.2586479080540816,7.511764736680444,GRU,Alcohol
193,11.33392139400372,14.797656115756507,GRU,Alcohol
194,9.799907731061632,13.1706604458554,GRU,Alcohol
195,15.291284881539362,22.568531519098226,GRU,Alcohol
196,0.4780985326104623,0.4812749927264177,Elastic Net,COVID-19
197,0.33333333333333337,0.6009252125773314,Elastic Net,COVID-19
198,0.5516999193257109,0.7230097744158472,Elastic Net,COVID-19
199,0.5098462229000622,0.6762735523390792,Elastic Net,COVID-19
200,0.36206896551724127,0.5882317968700683,Elastic Net,COVID-19
201,0.48,0.5063824940552621,Elastic Net,COVID-19
202,0.36794912903115873,0.47670068471074545,Elastic Net,COVID-19
203,0.3494381065101779,0.559233607152487,Elastic Net,COVID-19
204,0.4074074074074075,0.6872451740621877,Elastic Net,COVID-19
205,0.16666666666666652,0.16666666666666652,Elastic Net,COVID-19
206,0.5119047619047619,0.6995503901073316,Elastic Net,COVID-19
207,0.4835433621426399,0.4935018820097019,Elastic Net,COVID-19
208,0.916666666666667,1.1902380714238083,Elastic Net,COVID-19
209,0.5670045852997225,0.6113478629361816,Elastic Net,COVID-19
210,0.4800000000000001,0.5288217088765271,Elastic Net,COVID-19
211,0.5914503474508549,0.6853741986497909,Elastic Net,COVID-19
212,0.4568965517241379,0.4629559166240535,Elastic Net,COVID-19
213,0.592644924003005,0.639044414815073,Elastic Net,COVID-19
214,0.4137931034482758,0.4347216918879773,Elastic Net,COVID-19
215,0.4047619047619048,0.41853323407730825,Elastic Net,COVID-19
216,0.7435064935064933,0.8480989326894254,Elastic Net,COVID-19
217,0.26923076923076916,0.26923076923076916,Elastic Net,COVID-19
