,MAE,RMSE,Model,Dataset,Type
585,8.321065849518002,10.343115427305758,Elastic Net,Alcohol,Nomothetic
586,11.762479227069765,14.493937696008212,Elastic Net,Alcohol,Nomothetic
587,12.901008553875505,18.892216718969205,Elastic Net,Alcohol,Nomothetic
588,7.794877177416734,10.43846379864653,Elastic Net,Alcohol,Nomothetic
589,10.261824518416766,12.187576715883566,Elastic Net,Alcohol,Nomothetic
590,4.34500425661555,6.753140834471105,Elastic Net,Alcohol,Nomothetic
591,24.55127329734129,28.554031661329745,Elastic Net,Alcohol,Nomothetic
592,5.759084774240122,7.719424775843018,Elastic Net,Alcohol,Nomothetic
593,5.383972938396798,7.458083053338941,Elastic Net,Alcohol,Nomothetic
594,10.740120145122493,15.838653137470834,Elastic Net,Alcohol,Nomothetic
595,15.5271058742624,24.61831246156048,Elastic Net,Alcohol,Nomothetic
596,19.045725953318914,22.793867335919725,Elastic Net,Alcohol,Nomothetic
597,7.473060129108887,9.168144907964418,Elastic Net,Alcohol,Nomothetic
598,3.6206144897585584,4.805435398195553,Elastic Net,Alcohol,Nomothetic
599,12.10842351232508,14.897767129335252,Elastic Net,Alcohol,Nomothetic
600,7.443501118942247,9.20792061717631,Elastic Net,Alcohol,Nomothetic
601,7.896373060300722,11.53015307355298,Elastic Net,Alcohol,Nomothetic
602,12.537237938862027,17.726431834014225,Elastic Net,Alcohol,Nomothetic
603,6.392934759367803,11.52520591427592,Elastic Net,Alcohol,Nomothetic
604,16.426173559993003,21.911530842406208,Elastic Net,Alcohol,Nomothetic
605,3.971005980409793,6.3019545580826,Elastic Net,Alcohol,Nomothetic
606,13.580169707768745,17.862425657695983,Elastic Net,Alcohol,Nomothetic
607,8.73102187162161,11.500943318130208,Elastic Net,Alcohol,Nomothetic
608,17.311645500802012,22.600564031437,Elastic Net,Alcohol,Nomothetic
609,6.3523293499998985,9.099802793876846,SVM,Alcohol,Nomothetic
610,17.613678360135605,20.15543495107977,SVM,Alcohol,Nomothetic
611,14.431056481625312,17.815050448450833,SVM,Alcohol,Nomothetic
612,6.535131579411667,12.072453518591034,SVM,Alcohol,Nomothetic
613,8.837963370741694,10.878572260183535,SVM,Alcohol,Nomothetic
614,11.546828236430969,14.712977656588476,SVM,Alcohol,Nomothetic
615,11.254404654090925,17.970245198357013,SVM,Alcohol,Nomothetic
616,7.741852226613265,10.597960441806018,SVM,Alcohol,Nomothetic
617,10.58883042791254,12.893748376989246,SVM,Alcohol,Nomothetic
618,5.003201694775418,8.043259187490083,SVM,Alcohol,Nomothetic
619,23.456409115169567,28.31563363968463,SVM,Alcohol,Nomothetic
620,4.655388333638928,6.947993265389406,SVM,Alcohol,Nomothetic
621,6.273652613338291,8.19182460103087,SVM,Alcohol,Nomothetic
622,11.020926481567631,16.435165999566493,SVM,Alcohol,Nomothetic
623,13.957218783212806,23.98861863325776,SVM,Alcohol,Nomothetic
624,19.162938396395067,23.19203208418326,SVM,Alcohol,Nomothetic
625,8.084002564520272,9.63066595520864,SVM,Alcohol,Nomothetic
626,3.119042886836109,4.950389280269648,SVM,Alcohol,Nomothetic
627,12.012170721950792,15.338265101171505,SVM,Alcohol,Nomothetic
628,7.908452431232534,9.86843809803478,SVM,Alcohol,Nomothetic
629,7.683219721853305,11.753902810917136,SVM,Alcohol,Nomothetic
630,12.645343380401211,17.538368490154653,SVM,Alcohol,Nomothetic
631,6.31010645504976,11.3984264764177,SVM,Alcohol,Nomothetic
632,15.159684405359304,21.08217332616759,SVM,Alcohol,Nomothetic
633,5.272160927915641,7.905331319927378,SVM,Alcohol,Nomothetic
634,12.88047272572937,17.456968907641073,SVM,Alcohol,Nomothetic
635,9.35102085171488,12.18430253876224,SVM,Alcohol,Nomothetic
636,16.49577179251932,22.706780058658428,SVM,Alcohol,Nomothetic
637,3.600641283022948,4.794906953318461,XGBoost,Alcohol,Nomothetic
638,18.71450151552613,20.925269412691573,XGBoost,Alcohol,Nomothetic
639,15.40433250837517,18.737409395572204,XGBoost,Alcohol,Nomothetic
640,5.2063162129475815,10.45588592015382,XGBoost,Alcohol,Nomothetic
641,9.420842699845023,11.215797791478671,XGBoost,Alcohol,Nomothetic
642,11.514167302711444,14.156652698366528,XGBoost,Alcohol,Nomothetic
